0, 0, 0, 0, 0, 1.84354e-18, 1.65816e-13, 1.42676e-10, 1.28013e-08, 3.02862e-07, 3.09502e-06, 1.81131e-05, 7.19919e-05, 0.000216522, 0.000529343, 0.00110505, 0.00204022, 0.00341851, 0.00530057, 0.00772098, 0.0106912, 0.0142063, 0.0182534, 0.0228197, 0.0278989, 0.0334969, 0.0396359, 0.0463582, 0.0537295, 0.061844, 0.0708305, 0.0808635, 0.09218, 0.105109, 0.120122, 0.137913, 0.159538, 0.186611, 0.221605, 0.268248, 0.332023, 0.420736, 0.545119, 0.719358, 0.961465, 1.29338, 1.74068, 2.33189, 3.09725, 4.06712
0, 0, 0, 0, 0, 4.32281e-14, 1.34062e-10, 1.98739e-08, 5.65977e-07, 6.07327e-06, 3.51469e-05, 0.000134639, 0.000386497, 0.000899759, 0.0017906, 0.00315991, 0.00507731, 0.00757558, 0.0106547, 0.0142921, 0.0184541, 0.0231074, 0.0282272, 0.0338033, 0.0398434, 0.0463762, 0.0534529, 0.06115, 0.0695726, 0.0788604, 0.0891976, 0.100829, 0.11409, 0.12945, 0.147597, 0.169564, 0.19693, 0.232112, 0.278766, 0.342289, 0.43041, 0.553804, 0.726656, 0.967058, 1.29714, 1.74281, 2.33303, 3.09864, 4.07066, 5.27831
0, 0, 0, 0, 6.9065e-15, 1.41539e-10, 3.86815e-08, 1.31077e-06, 1.42321e-05, 7.8489e-05, 0.000280983, 0.00075132, 0.0016343, 0.00305541, 0.00509538, 0.00778155, 0.0110945, 0.0149841, 0.0193872, 0.0242438, 0.0295075, 0.0351519, 0.0411733, 0.0475914, 0.0544495, 0.0618142, 0.0697772, 0.078458, 0.0880094, 0.0986271, 0.110566, 0.124167, 0.139902, 0.158456, 0.180845, 0.208622, 0.244162, 0.291064, 0.354666, 0.442645, 0.565659, 0.737936, 0.977703, 1.30734, 1.75313, 2.34455, 3.11304, 4.09034, 5.30637, 6.78694
0, 0, 0, 4.18058e-16, 1.84151e-10, 1.05921e-07, 4.06372e-06, 4.16659e-05, 0.000206715, 0.00066227, 0.00159812, 0.00317396, 0.00548015, 0.00852708, 0.012259, 0.0165806, 0.0213856, 0.0265787, 0.0320896, 0.0378779, 0.0439341, 0.0502766, 0.056949, 0.0640173, 0.0715691, 0.0797145, 0.0885886, 0.098358, 0.10923, 0.121468, 0.135422, 0.151568, 0.170588, 0.19349, 0.221808, 0.257885, 0.305285, 0.369307, 0.457612, 0.58088, 0.753432, 0.993688, 1.32434, 1.77212, 2.36706, 3.1413, 4.12726, 5.35559, 6.85273, 8.63855
0, 0, 2.19967e-18, 3.64695e-10, 4.98849e-07, 1.88063e-05, 0.000160439, 0.000655656, 0.00177271, 0.00371194, 0.00655341, 0.010257, 0.0146952, 0.0196992, 0.0251012, 0.0307647, 0.0365982, 0.0425577, 0.0486408, 0.0548784, 0.0613274, 0.0680645, 0.0751831, 0.0827931, 0.091022, 0.100019, 0.109962, 0.121067, 0.133608, 0.14794, 0.164543, 0.184103, 0.207623, 0.236625, 0.273437, 0.321601, 0.386408, 0.475533, 0.599724, 0.773451, 1.01539, 1.34862, 1.80039, 2.40139, 3.18446, 4.18278, 5.42768, 6.94622, 8.75865, 10.8762
0, 0, 1.99645e-09, 5.81722e-06, 0.000149126, 0.000845647, 0.00250764, 0.00531976, 0.00925429, 0.0141344, 0.0197026, 0.0256868, 0.0318526, 0.038034, 0.0441424, 0.0501582, 0.0561141, 0.0620775, 0.0681371, 0.074394, 0.080957, 0.0879424, 0.0954755, 0.103694, 0.112756, 0.122845, 0.134183, 0.147049, 0.161804, 0.178934, 0.199127, 0.22339, 0.253242, 0.291008, 0.340229, 0.406212, 0.496688, 0.62252, 0.798388, 1.0433, 1.38081, 1.83876, 2.44856, 3.24383, 4.25855, 5.52474, 7.06998, 8.91483, 11.0705, 13.5368
0, 3.26316e-07, 0.000300795, 0.00217275, 0.00582992, 0.0108595, 0.0169068, 0.0236194, 0.0306319, 0.0376208, 0.0443502, 0.0506926, 0.056626, 0.0622109, 0.0675584, 0.0728029, 0.0780829, 0.083532, 0.0892763, 0.0954369, 0.102134, 0.109492, 0.117649, 0.126759, 0.137005, 0.148611, 0.161858, 0.177112, 0.194866, 0.215815, 0.240974, 0.271868, 0.310834, 0.361435, 0.429025, 0.521428, 0.649681, 0.828744, 1.07804, 1.42167, 1.8882, 2.50984, 3.32105, 4.35662, 5.64928, 7.22708, 9.11073, 11.3113, 13.828, 16.6474
0.0273398, 0.0284344, 0.0315566, 0.0364816, 0.0426249, 0.0493099, 0.0559276, 0.0621022, 0.0676462, 0.0725207, 0.0768092, 0.0806788, 0.0843323, 0.0879685, 0.0917614, 0.095855, 0.100368, 0.105404, 0.111057, 0.117425, 0.124612, 0.13274, 0.141954, 0.152431, 0.164393, 0.178123, 0.193992, 0.212504, 0.234364, 0.260602, 0.292763, 0.333211, 0.385554, 0.455227, 0.550196, 0.681731, 0.86515, 1.12038, 1.47221, 1.94998, 2.58681, 3.41811, 4.4795, 5.80439, 7.42123, 9.35075, 11.6036, 14.1783, 17.0601, 20.2204
0.0976045, 0.100656, 0.103462, 0.104884, 0.105548, 0.105887, 0.106038, 0.106035, 0.105968, 0.106012, 0.106373, 0.107226, 0.108694, 0.110854, 0.11375, 0.117414, 0.121879, 0.127184, 0.133387, 0.140567, 0.148826, 0.158299, 0.169157, 0.181625, 0.19599, 0.212633, 0.232074, 0.255035, 0.282571, 0.316261, 0.358512, 0.413007, 0.485298, 0.583545, 0.719323, 0.908397, 1.17131, 1.53363, 2.02564, 2.68146, 3.53749, 4.63026, 5.99381, 7.65689, 9.6401, 11.9535, 14.5944, 17.5466, 20.7797, 24.2496
0.151943, 0.1515, 0.149571, 0.146411, 0.142491, 0.138232, 0.134022, 0.130308, 0.127463, 0.125704, 0.1251, 0.125625, 0.127216, 0.129809, 0.133359, 0.13785, 0.143294, 0.149732, 0.157235, 0.165904, 0.175878, 0.187336, 0.200512, 0.215707, 0.233322, 0.253896, 0.278184, 0.307273, 0.34279, 0.387211, 0.444321, 0.519835, 0.622165, 0.763273, 0.959474, 1.23205, 1.60748, 2.11711, 2.7962, 3.68223, 4.81264, 6.22208, 7.93945, 9.98505, 12.368, 15.0842, 18.1156, 21.4295, 24.9792, 28.7062
