#Name  long  lat  Pivot_Energy(MeV)  Flux1000E(ph/cm^2/s)  Unc_Flux1000E(ph.cm^2/s)  SpectrumType  PL_Flux_Density(ph/cm^2/MeV/s)  Unc_PL_Flux_Density(ph/sm^2/MeV/s)  PL_Index  Unc_PL_Index  LP_Flux_Density(ph/cm^2/MeV/s)  Unc_LP_Flux_Density(ph/cm^2/MeV/s)  LP_Index  Unc_LP_Index  LP_beta  Unc_LP_beta      
4FGL_J1808.4-3358  358.0455   -6.7254     1416.70  1.5967E-09  1.2257E-10  LogParabola  6.7099E-13  5.7634E-14    2.4343    0.0547  1.2389E-12  9.4626E-14    2.4068    0.1461    0.8911    0.1203
4FGL_J1808.4-3522  356.8165   -7.3961     2239.86  4.3619E-10  8.1105E-11  LogParabola  6.0430E-14  1.2706E-14    2.2298    0.1280  1.1944E-13  2.7659E-14    2.0612    0.2977    0.7562    0.3965
4FGL_J1808.5-3701  355.3435   -8.1810     1263.24  6.5587E-10  8.3849E-11  LogParabola  3.9823E-13  5.0310E-14    2.3853    0.0858  5.8444E-13  8.1349E-14    2.2118    0.1662    0.3850    0.1419
4FGL_J1810.8-3347  358.4481   -7.0842     2142.01  3.1735E-10  7.2099E-11  PowerLaw  7.1706E-14  1.6296E-14    2.2945    0.1473  9.2754E-14  2.1813E-14    2.1296    0.2872    0.2378    0.1586
4FGL_J1812.8-3144    0.4778   -6.4977     1648.29  8.5372E-10  1.0084E-10  LogParabola  2.7125E-13  3.2819E-14    2.2777    0.0817  3.9472E-13  5.3428E-14    1.9229    0.1887    0.4462    0.1518
4FGL_J1813.2-1128   18.3539    3.0979     1620.56  1.5133E-09  1.9330E-10  LogParabola  5.3408E-13  7.7015E-14    2.5269    0.0859  7.5051E-13  9.8728E-14    2.5162    0.2271    0.3049    0.1227
4FGL_J1813.7-1152   18.0758    2.7860     2652.25  1.4456E-09  1.9244E-10  PowerLaw  1.8838E-13  2.4514E-14    2.5169    0.0884  2.3161E-13  3.1898E-14    2.6658    0.2132    0.2019    0.1142
4FGL_J1814.6-2537    6.0881   -3.9611     1087.43  7.5813E-10  1.2532E-10  LogParabola  6.7573E-13  1.1419E-13    2.5059    0.1086  1.0687E-12  1.7994E-13    2.2313    0.2575    0.5888    0.2506
4FGL_J1816.4-2727    4.6474   -5.1669     1562.05  1.0127E-09  1.2305E-10  LogParabola  3.6903E-13  4.9954E-14    2.4547    0.0792  5.6040E-13  7.0959E-14    2.5536    0.1784    0.3562    0.1190
4FGL_J1817.2-3035    1.9475   -6.7809     1822.22  7.6195E-10  7.9848E-11  PowerLaw  2.4786E-13  2.5734E-14    2.2559    0.0793  2.6968E-13  3.1857E-14    2.2308    0.0949    0.0607    0.0500
4FGL_J1817.9-3334  359.3383   -8.2848     1548.19  8.2156E-10  9.1619E-11  LogParabola  2.7885E-13  3.3222E-14    2.3298    0.0768  4.7018E-13  5.8075E-14    2.2432    0.1677    0.5456    0.1511
4FGL_J1822.6-2502    7.4472   -5.2781     1255.26  7.5068E-10  1.1380E-10  LogParabola  4.6635E-13  7.7674E-14    2.5502    0.0996  7.6362E-13  1.1044E-13    2.5479    0.2073    0.4568    0.0994
4FGL_J1822.9-4718  347.1098  -15.0877     1290.25  5.0383E-10  6.3441E-11  LogParabola  2.9463E-13  3.4979E-14    2.3481    0.0898  3.9951E-13  5.4818E-14    2.0306    0.2109    0.3731    0.1420
4FGL_J1823.8-3544  357.9305  -10.3502     1786.68  4.1214E-10  6.9999E-11  LogParabola  1.0047E-13  1.8631E-14    2.2418    0.1141  1.6874E-13  3.2466E-14    2.0453    0.3036    0.5604    0.2739
4FGL_J1824.2-5427  340.3189  -18.0490     1546.27  6.2328E-10  6.3642E-11  LogParabola  2.3765E-13  2.3624E-14    2.1828    0.0734  3.1247E-13  3.6259E-14    1.8887    0.1924    0.3289    0.1232
4FGL_J1830.7-1634   15.8517   -3.0369     1419.69  2.0506E-09  1.4988E-10  LogParabola  1.0931E-12  7.7590E-14    2.3728    0.0599  1.2521E-12  1.0092E-13    2.0911    0.1015    0.2201    0.0734
4FGL_J1830.8-3132    2.4113   -9.8068     1742.91  7.9538E-10  8.5871E-11  LogParabola  2.1782E-13  2.3979E-14    2.2036    0.0738  3.2690E-13  4.0771E-14    1.8779    0.1578    0.4577    0.1458
4FGL_J1845.8-2521    9.5176  -10.1202     1189.99  1.0945E-09  9.7902E-11  LogParabola  8.0526E-13  6.8291E-14    2.3713    0.0627  1.0852E-12  1.0278E-13    2.1655    0.1254    0.3255    0.0913
4FGL_J1858.5-4446  351.9356  -19.9245      856.91  2.1743E-10  4.1309E-11  PowerLaw  4.9704E-13  8.0588E-14    2.5429    0.1242  6.1745E-13  1.1434E-13    2.3951    0.2179    0.2123    0.1474
4FGL_J1906.4-1757   18.4085  -11.2989     1452.05  4.8101E-10  6.3780E-11  PowerLaw  2.7120E-13  3.4652E-14    2.3547    0.0999  3.2447E-13  4.8488E-14    2.2158    0.1731    0.1899    0.1103
4FGL_J1916.8-3025    7.5219  -18.4200     1751.54  1.0244E-09  8.2637E-11  LogParabola  2.9470E-13  2.3050E-14    2.0886    0.0565  3.8325E-13  3.5505E-14    1.7463    0.1446    0.3123    0.0961
